id,sender_id,receiver_id,amount,start_time,end_time,mpp,is_success,no_balance_count,offline_node_count,timeout_exp,attempts,route,total_fee
0,3925,1234,10000259,3002,4191,0,1,1,0,0,2,35433-50740-41216-7654,1030
1,61,2896,10000896,4899,5299,0,0,1,0,0,2,5242-9477-24862,22
2,1275,81,9999887,5405,5604,0,0,1,0,0,2,10379-182,0
3,1057,1400,10000193,6259,6259,0,0,0,0,0,1,-1,
4,1243,4639,10000401,6756,7350,0,1,0,0,0,1,7677-19111-45866,641
5,362,1094,10000063,6845,7245,0,0,1,0,0,2,7549-4606-6898,40
6,5721,5137,10001785,6874,7469,0,1,0,0,0,1,56829-47727-56324,18040
7,2862,5898,9999469,7149,7744,0,1,0,0,0,1,24551-30340-59240,2019
8,4244,3426,10001068,7184,7778,0,1,0,0,0,1,39642-1485-29573,1111
9,5179,5135,10000167,8057,9651,0,1,1,0,0,2,51097-48200-48654-23559-50655,2041
10,4598,5059,9998620,10220,10621,0,0,1,0,0,2,45508-48359-49926,1009
11,124,5430,9999098,11553,12154,0,1,0,0,0,1,307-45388-55391,1580
12,800,33,9998920,12060,12060,0,0,0,0,0,1,-1,
13,4476,5304,9999651,12282,12282,0,0,0,0,0,1,-1,
14,108,2716,10000837,12916,13315,0,1,0,0,0,1,259-23079,1010
15,1075,770,9999497,13939,14334,0,1,0,0,0,1,6626-4225,10
16,272,4099,10002021,14859,15652,0,1,0,0,0,1,881-22776-22775-37878,2020
17,608,1863,10001260,17736,18531,0,1,0,0,0,1,3035-32883-33788-14155,1021
18,1255,1369,9998426,18570,19166,0,1,0,0,0,1,7766-6393-8685,5008
19,5479,2649,9999804,21458,22257,0,0,1,0,0,2,54071-49357-23574-54259-22312,1009
20,801,2027,9999283,22207,22805,0,1,0,0,0,1,4419-5810-15775,19
21,151,3399,9997386,22286,22686,0,1,0,0,0,1,31637-29141,1999
22,1933,1858,9999051,24291,25484,0,0,3,0,0,4,14871-6007-14134,1019
23,5053,5088,9999658,24350,24548,0,0,1,0,0,2,49868-50296,1999
24,1899,2769,9998509,25511,26911,0,1,2,0,0,3,14415-9152-24780-23559,1018
25,2296,4217,9999761,25871,26470,0,1,0,0,0,1,18771-37840-39299,62007
26,2524,2106,9999458,26644,27242,0,1,0,0,0,1,38309-28141-16499,2999
27,5273,5546,9999273,31520,31520,0,0,0,0,0,1,-1,
28,2207,5750,9999991,32720,32720,0,0,0,0,0,1,-1,
29,3512,5351,10000677,34089,34089,0,0,0,0,0,1,-1,
30,1222,4282,10001610,34359,34359,0,0,0,0,0,1,-1,
31,3758,2621,9999722,34868,35664,0,1,0,0,0,1,33123-22076-56161-22093,10189
32,3732,4755,9998734,37313,37711,0,0,2,0,0,3,32911-49064-49063-17862-47510,3038
33,4041,3956,10001578,39782,40577,0,1,0,0,0,1,37581-6876-55316-35915,1021
34,2152,1616,9999536,39828,40424,0,0,1,0,0,2,20371-35994-26393-11840,2019
35,3734,566,10000803,40875,41467,0,1,0,0,0,1,32916-1273-2811,22
36,438,123,10000202,42137,42734,0,1,0,0,0,1,2126-2158-459,22
37,3880,3737,10001566,42233,42829,0,1,0,0,0,1,35393-36163-32929,2020
38,850,1848,10000574,43525,43525,0,0,0,0,0,1,-1,
39,3976,3251,9999960,43799,44198,0,0,1,0,0,2,36243-23575-28334,0
40,2861,1844,9999006,45492,46093,0,1,0,0,0,1,51057-47728-14323,1009
41,3994,1647,9999822,46296,46497,0,0,1,0,0,2,36377-12030,1009
42,4551,5774,9999477,47076,48066,0,1,1,0,0,2,47424-59460-58881-57526,1030
43,1668,797,9999953,47380,48769,0,0,3,0,0,4,12174-29945-34495-30286,3450
44,3355,5966,10000326,47762,48359,0,0,1,0,0,2,28969-23574-48359-60226,1010
45,1126,2384,10000705,49497,51089,0,1,2,0,0,3,7061-26136-25259-19572,1030
46,4957,392,9999713,50338,50338,0,0,0,0,0,1,-1,
47,4932,5910,10000705,51229,52029,0,0,1,0,0,2,49439-60518-57319-60097-59390,3139
48,4819,2410,9999399,51960,53548,0,1,1,0,0,2,48331-55772-22022-24848-19787,2050
49,1194,3784,10000086,53695,54098,0,1,0,0,0,1,44065-43053,9770
50,2697,5416,10001181,54014,54014,0,0,0,0,0,1,-1,
51,4985,5417,9998645,55298,55298,0,0,0,0,0,1,-1,
52,1721,2707,10000041,55909,56501,0,1,0,0,0,1,12532-9943-22814,22
53,2292,1951,10000978,56958,57556,0,1,0,0,0,1,18751-9620-14929,22
54,4160,1128,9999418,59184,59780,0,1,0,0,0,1,38675-9853-7069,20
55,931,5679,9999823,60125,60723,0,0,1,0,0,2,5560-51693-55555-56314,2128
56,221,87,10000191,64136,64535,0,1,0,0,0,1,18807-37406,1010
57,2877,2262,9998917,64137,64733,0,1,0,0,0,1,24744-3814-22417,20
58,5284,4120,9999298,64359,64961,0,0,1,0,0,2,52261-46623-23574-37962,10009
59,743,3759,10001536,65797,65797,0,0,0,0,0,1,-1,
60,2790,897,10000084,66265,67060,0,1,1,0,0,2,46442-4571-5078,11
61,906,5206,9999164,66707,67898,0,0,3,0,0,4,5604-60141-54096,2019
62,675,5182,9999569,66852,67842,0,1,1,0,0,2,28001-33130-54605,2019
63,3229,772,9998995,67632,68235,0,1,0,0,0,1,28173-1354-4228,20
64,2001,3422,9999755,67912,68508,0,1,0,0,0,1,15418-1459-29527,20
65,2865,632,9998971,68471,69066,0,1,0,0,0,1,24574-27342-3215,1018
66,2158,3624,9999342,70232,70232,0,0,0,0,0,1,-1,
67,2769,3668,9998331,70399,70995,0,1,0,0,0,1,23654-1312-32332,20
68,5990,4776,10001824,72650,73047,0,0,1,0,0,2,60779-42661-47840,2020
69,1411,1731,9998980,73027,74019,0,1,1,0,0,2,8972-53249-13218,2199
70,5889,5767,10000349,76245,76644,0,0,1,0,0,2,59094-49915-57430,3010
71,5795,2046,10000173,78141,78938,0,1,0,0,0,1,57709-51630-55257-15934,2020
72,6002,3294,10000838,79682,80084,0,1,0,0,0,1,60890-28671,11
73,1213,4358,10001135,80788,81387,0,1,0,0,0,1,8065-13182-41459,1201
74,116,4238,10000110,80966,81567,0,1,0,0,0,1,289-52728-51499,11010
75,604,164,9998710,81994,82593,0,0,1,0,0,2,9484-52675-52729-492,1019
76,5011,4497,10000211,83007,83801,0,1,0,0,0,1,49599-52992-58630-43781,3210
77,2252,1476,9999724,83385,83785,0,1,0,0,0,1,18365-9922,10
78,5785,4419,9999339,83653,84450,0,1,0,0,0,1,57587-23772-3152-42391,2019
79,4271,2923,9998763,83653,84050,0,1,0,0,0,1,40095-25540,1009
80,3132,5187,9997836,84061,84460,0,0,1,0,0,2,55969-52024-51126,2018
81,4556,71,10000796,86135,86733,0,1,0,0,0,1,44853-45243-156,2020
82,5345,5284,10000984,86763,87362,0,0,1,0,0,2,53691-23721-55773-52260,1030
83,5358,364,10001576,87249,87249,0,0,0,0,0,1,-1,
84,1405,1991,9999819,87472,87870,0,0,1,0,0,2,21822-23476-15348,1018
85,1368,4383,9998863,89761,90159,0,1,0,0,0,1,8803-41916,1009
86,4195,2841,9999729,90014,90413,0,1,0,0,0,1,46154-24393,2
87,3458,4941,9999739,90817,91413,0,0,1,0,0,2,29919-3408-58441-49458,1170
88,5030,3101,9998832,91137,91137,0,0,0,0,0,1,-1,
89,168,4933,10000139,91277,91872,0,0,1,0,0,2,59250-27139-58441-49440,164
90,3598,2667,10001188,91700,92496,0,1,0,0,0,1,31363-40650-38681-22502,1481
91,1268,3054,9999365,91891,93687,0,1,4,0,0,5,8066-46559-26484,1330
92,5931,4941,9998916,91981,92378,0,0,1,0,0,2,59703-53379-49458,1009
93,1662,5892,10000929,92444,93439,0,1,1,0,0,2,12128-55256-51631-59126,2072
94,3202,5965,10000506,94786,94786,0,0,0,0,0,1,-1,
95,468,3785,9999130,95074,95671,0,1,0,0,0,1,28306-28452-33581,1135
96,5601,4236,10000395,95506,95506,0,0,0,0,0,1,-1,
97,4362,5100,10002198,96284,96284,0,0,0,0,0,1,-1,
98,3336,4603,10000952,96373,96373,0,0,0,0,0,1,-1,
99,4055,880,10001615,96992,98378,0,1,1,0,0,2,37288-35669-58396-25259-4947,1030
100,275,5935,9998021,97728,98912,0,1,1,0,0,2,6352-19263-57842-59788,39
101,1512,93,10000650,98046,99045,0,1,1,0,0,2,11495-351-354,1010
102,716,815,9999814,99201,99800,0,1,0,0,0,1,5303-3856-4510,19
103,3355,1887,10001494,99339,100134,0,1,0,0,0,1,28969-32108-3503-14358,703
104,5726,2764,10000461,104800,105595,0,1,0,0,0,1,56845-49733-49820-23517,1428
105,3021,2247,9999490,105387,108170,0,1,3,0,0,4,26133-28453-15864-18290,1184
106,2598,3330,10001566,106781,107180,0,0,1,0,0,2,25959-23575-28836,0
107,1797,1564,9998484,108259,108856,0,1,0,0,0,1,13265-9558-11375,19
108,4453,608,9999139,109343,110142,0,1,0,0,0,1,42749-42185-52673-3034,2019
109,5743,2681,10001195,110145,110543,0,0,1,0,0,2,60842-55401-22552,70111
110,5936,437,10000669,110754,111356,0,1,0,0,0,1,59927-52752-2120,10011
111,3255,1638,10000259,112139,112934,0,1,0,0,0,1,28343-32108-24645-12355,253
112,868,1182,9998811,112383,113776,0,1,2,0,0,3,4866-60268-46442-11968-7335,1534
113,3247,1729,9999904,113168,113766,0,1,0,0,0,1,28312-3885-12583,19
114,5318,2466,9999090,115059,115857,0,1,0,0,0,1,52589-59584-22108-20349,1168
115,3056,1340,10000716,116114,118106,0,1,3,0,0,4,26464-9642-7309-8449,32
116,5300,1331,10000278,117344,118135,0,1,0,0,0,1,53604-48904-6392-8417,1030
117,5785,2217,10000209,117768,118367,0,1,0,0,0,1,57587-1668-17903,1021
118,4188,1959,9999211,118333,119126,0,1,0,0,0,1,38945-44168-18738-15015,1078
119,5005,1184,9999211,122050,122050,0,0,0,0,0,1,-1,
120,398,2489,9999002,124530,125126,0,1,0,0,0,1,1856-1217-20529,20
121,2210,764,10000121,125802,126997,0,1,1,0,0,2,18226-1423-1802-4198,1032
122,422,1241,9999919,126080,126478,0,1,0,0,0,1,36972-12555,0
