n_payments, routelength
2500, 3.1330561066
5000, 3.1609525734
7500, 3.1619880160
10000, 3.1621544560
12500, 3.1646916556
15000, 3.1661715900
17500, 3.1659583172
20000, 3.1647173300
22500, 3.1663710656
25000, 3.1667416942
27500, 3.1678844989
30000, 3.1683437650
